"","YOB","GrandParentType","CoupleType","BirthPlaceMom","BirthPlaceDad","LAHusband","LAWife","HusbandEducation","WifeEducation","Husband_ftotval","Fertility"
"80",1987,"Hispanic paternal grandfather","Hispanic-Hispanic","Mexico","Mexico",1,1,8.07936507936508,8.07936507936508,9.94298493862152,3.19471153846154
"81",1987,"Hispanic paternal grandfather","Hispanic-Hispanic","Nicaragua","Nicaragua",1,1,13,13,11.2412910461426,2
"82",1987,"Hispanic paternal grandfather","Hispanic-Hispanic","Peru","Peru",1,1,11,11,10.0050325393677,1.66666666666667
"83",1987,"Hispanic paternal grandfather","Hispanic-Hispanic","USA","Dominican Republic",1,1,14,14,11.3828277587891,4
"84",1987,"Hispanic paternal grandfather","White-Hispanic","USA","USA",0,1,12.4285714285714,12.4285714285714,10.586142539978,3.42857142857143
"85",1987,"Hispanic paternal grandfather","White-White","Mexico","USA",0,0,13.1764705882353,13.1764705882353,10.6575303077698,2.45454545454545
"86",1987,"Hispanic paternal grandfather","White-White","Nicaragua","USA",0,0,16,16,11.422477722168,3
"87",1987,"Hispanic paternal grandfather","White-White","USA","Mexico",0,0,9.62903225806452,9.62903225806452,10.0207498550415,2.96666666666667
"88",1987,"Hispanic paternal grandfather","White-White","USA","USA",0,0,14.2513966480447,14.2513966480447,10.6690019395616,2.69060773480663
"89",1987,"Hispanic paternal grandmother","Hispanic-Hispanic","Mexico","Mexico",1,1,10.25,10.25,9.15254783630371,2.44444444444444
"90",1987,"Hispanic paternal grandmother","White-White","USA","Mexico",0,0,5.14285714285714,5.14285714285714,8.26087188720703,4
"91",1987,"Hispanic paternal grandmother","White-White","USA","USA",0,0,14.7105263157895,14.7105263157895,10.5049494504929,2.33128834355828
"92",1988,"Hispanic maternal grandfather","White-Hispanic","USA","USA",0,1,14,14,11.0185260772705,1.25
"93",1988,"Hispanic maternal grandfather","White-White","Cuba","USA",0,0,15.6,15.6,10.905574798584,2.33333333333333
"94",1988,"Hispanic maternal grandfather","White-White","Mexico","USA",0,0,12.6,12.6,10.1877267837524,2.64285714285714
"95",1988,"Hispanic maternal grandfather","White-White","USA","USA",0,0,14.6401869158879,14.6401869158879,10.8220014572144,2.62527716186253
"96",1988,"Hispanic paternal grandfather","Hispanic-Hispanic","Colombia","Colombia",1,1,14.8571428571429,14.8571428571429,10.796037197113,2.15
"97",1988,"Hispanic paternal grandfather","Hispanic-Hispanic","Cuba","Cuba",1,1,14.8,14.8,11.0120401382446,2
"98",1988,"Hispanic paternal grandfather","Hispanic-Hispanic","Dominican Republic","Dominican Republic",1,1,9.4,9.4,10.5064392089844,1.8
"99",1988,"Hispanic paternal grandfather","Hispanic-Hispanic","Ecuador","Ecuador",1,1,12.6666666666667,12.6666666666667,8.90767002105713,3.5
"100",1988,"Hispanic paternal grandfather","Hispanic-Hispanic","El Salvador","El Salvador",1,1,8.54545454545454,8.54545454545454,9.48571745554606,2.52380952380952
"101",1988,"Hispanic paternal grandfather","Hispanic-Hispanic","El Salvador","Mexico",1,1,10.125,10.125,10.4412698745728,3.55555555555556
"102",1988,"Hispanic paternal grandfather","Hispanic-Hispanic","Guatemala","Guatemala",1,1,8.44444444444444,8.44444444444444,10.67946434021,3
"103",1988,"Hispanic paternal grandfather","Hispanic-Hispanic","Mexico","Guatemala",1,1,9.875,9.875,9.84136390686035,2.75
"104",1988,"Hispanic paternal grandfather","Hispanic-Hispanic","Mexico","Mexico",1,1,8.54103343465046,8.54103343465046,9.96344895022256,3.31890660592255
"105",1988,"Hispanic paternal grandfather","Hispanic-Hispanic","Nicaragua","Nicaragua",1,1,13.3333333333333,13.3333333333333,9.95647716522217,4
"106",1988,"Hispanic paternal grandfather","Hispanic-Hispanic","Peru","Peru",1,1,13.5,13.5,11.1868877410889,1.75
"107",1988,"Hispanic paternal grandfather","Hispanic-Hispanic","USA","USA",1,1,14,14,10.6879428227743,2.55555555555556
"108",1988,"Hispanic paternal grandfather","White-White","Mexico","USA",0,0,10.6923076923077,10.6923076923077,9.96423212687174,2.71428571428571
"109",1988,"Hispanic paternal grandfather","White-White","USA","Cuba",0,0,15.8571428571429,15.8571428571429,11.4754796981812,2.11111111111111
"110",1988,"Hispanic paternal grandfather","White-White","USA","Dominican Republic",0,0,14,14,10.8638076782227,2.33333333333333
"111",1988,"Hispanic paternal grandfather","White-White","USA","El Salvador",0,0,8.4,8.4,10.0946445465088,2.6
"112",1988,"Hispanic paternal grandfather","White-White","USA","Honduras",0,0,14,14,11.0298042297363,2
"113",1988,"Hispanic paternal grandfather","White-White","USA","Mexico",0,0,10.875,10.875,10.3693548043569,2.7032967032967
"114",1988,"Hispanic paternal grandfather","White-White","USA","USA",0,0,13.6534090909091,13.6534090909091,10.7574315403783,2.59954233409611
"115",1988,"Hispanic paternal grandmother","White-White","USA","USA",0,0,14.3181818181818,14.3181818181818,10.7192429065704,2.37967914438503
"116",1989,"Hispanic maternal grandfather","White-White","Cuba","USA",0,0,16,16,10.0705471038818,2.66666666666667
"117",1989,"Hispanic maternal grandfather","White-White","El Salvador","USA",0,0,16,16,11.4164009094238,5
"118",1989,"Hispanic maternal grandfather","White-White","Mexico","USA",0,0,10,10,10.1929755210876,3
"119",1989,"Hispanic maternal grandfather","White-White","Peru","USA",0,0,14,14,9.30141448974609,3
"120",1989,"Hispanic maternal grandfather","White-White","USA","USA",0,0,14.8685258964143,14.8685258964143,11.002178815695,2.45818181818182
"121",1989,"Hispanic paternal grandfather","Hispanic-Hispanic","Colombia","Colombia",1,1,16,16,10.4741077423096,2
"122",1989,"Hispanic paternal grandfather","Hispanic-Hispanic","Cuba","Cuba",1,1,14.5,14.5,11.047080039978,2.61904761904762
"123",1989,"Hispanic paternal grandfather","Hispanic-Hispanic","Dominican Republic","Dominican Republic",1,1,10.5,10.5,10.0787418365479,2.23809523809524
"124",1989,"Hispanic paternal grandfather","Hispanic-Hispanic","Ecuador","Ecuador",1,1,15.6,15.6,9.00595808029175,3
"125",1989,"Hispanic paternal grandfather","Hispanic-Hispanic","Ecuador","Mexico",1,1,10,10,11.1071109771729,3
